"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR";"Pelz.2006.ALEC50";"Pelz.2006.AntEC50";"Pelz.2005.ALnmr";"Pelz.2005.Antnmr"
"ester";"isopentyl acetate";"31276";"123-92-2";236;147;223;NA;NA;30;108;4.16;4.01;NA;NA
"ester";"E2-hexenyl acetate";"2733294";"2497-18-9";198;NA;NA;NA;NA;NA;118;3.37;3.22;NA;NA
"ester";"methyl butyrate";"12180";"623-42-7";224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl butyrate";"7762";"105-54-4";197;174;243;157;209;52;149;5.87;4.35;NA;NA
"ester";"hexyl butyrate";"17525";"2639-63-6";43;NA;NA;NA;NA;0;NA;NA;NA;0.176;0.252
"ester";"ethyl 3-hydroxybutyrate";"62572";"5405-41-4";142;NA;NA;NA;NA;35;NA;NA;NA;NA;NA
"ester";"ethyl propionate";"7749";"105-37-3";192;126;190;NA;NA;NA;64;4.17;3.12;NA;NA
"ester";"ethyl methanoate";"8025";"109-94-4";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl hexanoate";"7824";"106-70-7";260;NA;NA;NA;NA;58;NA;6.9;6;NA;NA
"ester";"ethyl hexanoate";"31265";"123-66-0";228;NA;NA;NA;NA;134;NA;6.83;6.62;NA;NA
"ester";"hexyl hexanoate";"22873";"6378-65-0";35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl octanoate";"8091";"111-11-5";241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl octanoate";"7799";"106-32-1";99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl decanoate";"8048";"110-38-3";10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl trans-2-butenoate";"429065";"623-70-1";214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl lactate";"92831";"97-64-3";74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"diethyl succinate";"31249";"123-25-1";209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"octyl acetate";"8164";"112-14-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.177;0.187
"ester";"decyl acetate";"8167";"112-17-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.088;0.141
"ester";"methyl propionate";"11124";"554-12-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"propyl butanoate";"7770";"105-66-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"propyl pentanoate";"67328";"141-06-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"butyl hexanoate";"12294";"626-82-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"N ring";"indole";"798";"120-72-9";NA;NA;NA;NA;NA;NA;3;NA;NA;0.239;0.135
"ester";"Z11-hexdecenyl acetate";"5364711";"34010-21-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.053;0.083
"ester";"2-methyl butyl acetate";"12209";"624-41-9";NA;NA;NA;NA;NA;NA;NA;NA;4.3;NA;NA
"ester";"propyl propionate";"7803";"106-36-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"sec-amyl acetate";"12278";"626-38-0";NA;NA;NA;NA;NA;0;NA;4.89;4.3;NA;NA
"ester";"ethyl (R)-(-)-3-hydroxybutanoate";"440030";"24915-95-5";NA;NA;NA;NA;NA;NA;NA;3.33;2.55;NA;NA
"ester";"ethyl (S)-(+)-3-hydroxybutanoate";"6950306";"56816-01-4";NA;NA;NA;NA;NA;NA;NA;2.84;2.11;NA;NA
"ester";"ethyl 2-methylbutanoate";"24020";"7452-79-1";NA;NA;NA;NA;NA;NA;145;5.25;4.33;NA;NA
"ester";"butyl butanoate";"7983";"109-21-7";NA;NA;NA;NA;NA;45;NA;2.85;2.86;NA;NA
"ester";"methyl pentanoate";"12206";"624-24-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl pentanoate";"10882";"539-82-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl 3-hydroxy hexanoate";"519845";"21188-58-9";NA;NA;NA;NA;NA;NA;NA;3.62;NA;NA;NA
"ester";"ethyl 3-hydroxyhexanoate";"61293";"2305-25-1";NA;NA;NA;NA;NA;30;NA;3.27;2.43;NA;NA
"ester";"propyl hexanoate";"12293";"626-77-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl heptanoate";"7826";"106-73-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl heptanoate";"7797";"106-30-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"isoamyl tiglate";"5463682";"41519-18-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"isopropyl butyrate";"61184";"638-11-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl tiglate";"5323652";"6622-76-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl 2-methyl-2E-butenoate";"5281163";"5837-78-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"isopropyl tiglate";"5367745";"1733-25-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl isovalerate";"7945";"108-64-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"heptyl acetate";"8159";"112-06-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"Z3-hexenyl acetate";"5363388";"3681-71-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"hexyl methanoate";"61177";"629-33-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"butyl heptanoate";"21596";"5454-28-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"nonyl acetate";"8918";"143-13-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"propyl heptanoate";"229377";"7778-87-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"butyl valerate";"61137";"591-68-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"butyl propanoate";"11529";"590-01-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
