"Class";"Name";"CID";"CAS";"Schmuker.2007.TR";"Bruyne.2001.WT";"Nissler.2007.EC50";"Nissler.2007.nmr";"Kreher.2008.EN"
"ester";"methyl butyrate";"12180";"623-42-7";NA;NA;NA;NA;NA
"ester";"ethyl butyrate";"7762";"105-54-4";12;31;NA;NA;10
"ester";"hexyl butyrate";"17525";"2639-63-6";NA;NA;NA;0.3416;NA
"ester";"ethyl 3-hydroxybutyrate";"62572";"5405-41-4";NA;NA;NA;NA;NA
"ester";"ethyl propionate";"7749";"105-37-3";2;NA;NA;NA;NA
"ester";"ethyl methanoate";"8025";"109-94-4";NA;NA;NA;NA;NA
"ester";"methyl hexanoate";"7824";"106-70-7";NA;NA;NA;NA;NA
"ester";"ethyl hexanoate";"31265";"123-66-0";NA;NA;NA;NA;NA
"ester";"hexyl hexanoate";"22873";"6378-65-0";NA;NA;NA;NA;NA
"ester";"methyl octanoate";"8091";"111-11-5";NA;NA;NA;NA;NA
"ester";"ethyl octanoate";"7799";"106-32-1";NA;NA;NA;NA;NA
"ester";"ethyl decanoate";"8048";"110-38-3";NA;NA;NA;NA;NA
"ester";"ethyl trans-2-butenoate";"429065";"623-70-1";NA;NA;NA;NA;NA
"ester";"ethyl lactate";"92831";"97-64-3";NA;NA;NA;NA;NA
"ester";"diethyl succinate";"31249";"123-25-1";NA;NA;NA;NA;NA
"ester";"octyl acetate";"8164";"112-14-1";NA;NA;NA;0.22225;2
"ester";"decyl acetate";"8167";"112-17-4";NA;NA;NA;NA;NA
"ester";"methyl propionate";"11124";"554-12-1";NA;NA;NA;NA;NA
"ester";"propyl butanoate";"7770";"105-66-8";NA;NA;NA;NA;NA
"ester";"propyl pentanoate";"67328";"141-06-0";NA;NA;NA;NA;NA
"ester";"butyl hexanoate";"12294";"626-82-4";NA;NA;NA;NA;NA
"N ring";"indole";"798";"120-72-9";19;NA;NA;NA;NA
"ester";"Z11-hexdecenyl acetate";"5364711";"34010-21-4";NA;NA;NA;NA;NA
"ester";"2-methyl butyl acetate";"12209";"624-41-9";NA;NA;NA;0.3054;NA
"ester";"propyl propionate";"7803";"106-36-5";NA;NA;NA;NA;NA
"ester";"sec-amyl acetate";"12278";"626-38-0";NA;NA;NA;0;NA
"ester";"ethyl (R)-(-)-3-hydroxybutanoate";"440030";"24915-95-5";NA;NA;2.186;0.74525;NA
"ester";"ethyl (S)-(+)-3-hydroxybutanoate";"6950306";"56816-01-4";NA;NA;2.508;0.857;NA
"ester";"ethyl 2-methylbutanoate";"24020";"7452-79-1";16;NA;NA;0.27375;NA
"ester";"butyl butanoate";"7983";"109-21-7";NA;NA;NA;NA;NA
"ester";"methyl pentanoate";"12206";"624-24-8";NA;NA;NA;NA;NA
"ester";"ethyl pentanoate";"10882";"539-82-2";NA;NA;NA;NA;NA
"ester";"methyl 3-hydroxy hexanoate";"519845";"21188-58-9";NA;NA;1.797;0.5895;NA
"ester";"ethyl 3-hydroxyhexanoate";"61293";"2305-25-1";NA;NA;NA;0.52975;NA
"ester";"propyl hexanoate";"12293";"626-77-7";NA;NA;NA;NA;NA
"ester";"methyl heptanoate";"7826";"106-73-0";NA;NA;NA;NA;NA
"ester";"ethyl heptanoate";"7797";"106-30-9";NA;NA;NA;NA;NA
"ester";"isoamyl tiglate";"5463682";"41519-18-0";NA;NA;NA;0.3244;NA
"ester";"isopropyl butyrate";"61184";"638-11-9";NA;NA;NA;0.1984;NA
"ester";"methyl tiglate";"5323652";"6622-76-0";NA;NA;NA;0.315;NA
"ester";"ethyl 2-methyl-2E-butenoate";"5281163";"5837-78-5";NA;NA;NA;0.173;NA
"ester";"isopropyl tiglate";"5367745";"1733-25-1";NA;NA;NA;0.0606667;NA
