"Class";"Name";"InChIKey";"CID";"CAS";"Kreher.2005.EN";"Kreher.2008.EN";"Galizia.2009.nmr"
"155";"alcohol";"4-methylcyclohexanol";"MQWCXKGKQLNYQG-UHFFFAOYSA-N";11524;"589-91-3";NA;NA;1.17165074513771
"156";"alcohol";"1-heptanol";"BBMCTIGTTCKYKF-UHFFFAOYSA-N";8129;"111-70-6";180;177;NA
"157";"alcohol";"3-octanol";"NMRPBPVERJPACX-UHFFFAOYSA-N";11527;"589-98-0";34;31;0.370597904041415
"158";"alcohol";"1-nonanol";"ZWRUINPWMLAQRD-UHFFFAOYSA-N";8914;"143-08-8";17;11;NA
"159";"alcohol";"4-octanol";"WOFPPJOZXUTRAU-UHFFFAOYSA-N";11515;"589-62-8";NA;NA;0.188814498233615
"160";"alcohol";"2-heptanol";"CETWDUZRCINIHU-UHFFFAOYSA-N";10976;"543-49-7";NA;NA;0.404580178603842
"161";"alcohol";"2-hexanol";"QNVRIHYSUZMSGM-UHFFFAOYSA-N";12297;"626-93-7";NA;NA;0.721461597680682
"162";"alcohol";"3-hexanol";"ZOCHHNOQQHDWHG-UHFFFAOYSA-N";12178;"623-37-0";NA;NA;NA
"163";"alcohol";"1-hexen-3-ol";"BVOSSZSHBZQJOI-UHFFFAOYSA-N";20928;"4798-44-1";NA;NA;0.323605941196306
"164";"alcohol";"isobutyl alcohol";"ZXEKIIBDNHEJCQ-UHFFFAOYSA-N";6560;"78-83-1";NA;NA;NA
"165";"ester";"methyl acetate";"KXKVLQRXCPHEJC-UHFFFAOYSA-N";6584;"79-20-9";NA;NA;NA
"166";"ester";"ethyl acetate";"XEKOWRVHYACXOJ-UHFFFAOYSA-N";8857;"141-78-6";27;24;NA
"167";"ester";"propyl acetate";"YKYONYBAUNKHLG-UHFFFAOYSA-N";7997;"109-60-4";30;29;NA
"168";"ester";"butyl acetate";"DKPFZGUDAPQIHT-UHFFFAOYSA-N";31272;"123-86-4";NA;NA;0.345286034812152
